    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
  294,     890,  5.1901,  0.0056, 0.869, 0.869
  295,     893,  5.1921,  0.0056, 0.869, 0.869
  296,     896,  5.1891,  0.0056, 0.869, 0.869
  297,     899,  5.1926,  0.0056, 0.869, 0.869
  298,     902,  5.1911,  0.0056, 0.869, 0.869
  299,     905,  5.1931,  0.0056, 0.869, 0.869
  300,     908,  5.1903,  0.0056, 0.869, 0.869
  301,     911,  5.1893,  0.0056, 0.869, 0.869
  302,     914,  5.1891,  0.0056, 0.869, 0.869
  303,     917,  5.1898,  0.0056, 0.869, 0.869
  304,     920,  5.1916,  0.0056, 0.869, 0.869
  305,     923,  5.1891,  0.0056, 0.869, 0.869
  306,     926,  5.1906,  0.0056, 0.869, 0.869
  307,     929,  5.1906,  0.0056, 0.869, 0.869
  308,     932,  5.1916,  0.0056, 0.869, 0.869
  309,     935,  5.1883,  0.0056, 0.869, 0.869
  310,     938,  5.1914,  0.0056, 0.870, 0.870
  311,     941,  5.1906,  0.0056, 0.870, 0.869
  312,     944,  5.1919,  0.0056, 0.870, 0.870
  313,     947,  5.1893,  0.0056, 0.870, 0.869
  314,     950,  5.1898,  0.0056, 0.869, 0.869
  315,     953,  5.1878,  0.0056, 0.869, 0.869
  316,     956,  5.1903,  0.0056, 0.869, 0.870
  317,     959,  5.1876,  0.0056, 0.869, 0.870
  318,     962,  5.1893,  0.0056, 0.869, 0.870
  319,     965,  5.1898,  0.0056, 0.870, 0.870
  320,     968,  5.1911,  0.0056, 0.870, 0.870
  321,     971,  5.1893,  0.0056, 0.870, 0.870
  322,     974,  5.1909,  0.0056, 0.870, 0.870
  323,     977,  5.1891,  0.0056, 0.870, 0.870
  324,     980,  5.1909,  0.0056, 0.870, 0.870
  325,     983,  5.1909,  0.0056, 0.870, 0.870
  326,     986,  5.1901,  0.0056, 0.870, 0.870
  327,     989,  5.1903,  0.0056, 0.870, 0.870
  328,     992,  5.1898,  0.0056, 0.870, 0.870
  329,     995,  5.1888,  0.0056, 0.870, 0.870
  330,     998,  5.1893,  0.0056, 0.870, 0.870
  331,    1001,  5.1903,  0.0056, 0.870, 0.870
  332,    1004,  5.1878,  0.0056, 0.870, 0.870
  333,    1007,  5.1898,  0.0056, 0.870, 0.870
  334,    1010,  5.1871,  0.0056, 0.870, 0.870
  335,    1013,  5.1871,  0.0056, 0.870, 0.870
  336,    1016,  5.1883,  0.0056, 0.870, 0.870
  337,    1019,  5.1893,  0.0056, 0.870, 0.870
  338,    1022,  5.1883,  0.0056, 0.870, 0.870
  339,    1025,  5.1888,  0.0056, 0.870, 0.870
  340,    1028,  5.1863,  0.0056, 0.870, 0.870
  341,    1031,  5.1888,  0.0056, 0.870, 0.870
  342,    1034,  5.1886,  0.0056, 0.870, 0.870
  343,    1037,  5.1896,  0.0056, 0.870, 0.870
  344,    1040,  5.1876,  0.0056, 0.870, 0.870
  345,    1043,  5.1901,  0.0056, 0.870, 0.871
  346,    1046,  5.1888,  0.0056, 0.870, 0.870
  347,    1049,  5.1909,  0.0056, 0.870, 0.870
  348,    1052,  5.1861,  0.0056, 0.871, 0.870
  349,    1055,  5.1909,  0.0056, 0.871, 0.871
  350,    1058,  5.1876,  0.0056, 0.871, 0.870
  351,    1061,  5.1906,  0.0056, 0.870, 0.871
  352,    1064,  5.1873,  0.0056, 0.870, 0.871
  353,    1067,  5.1886,  0.0056, 0.871, 0.871
  354,    1070,  5.1891,  0.0056, 0.871, 0.871
  355,    1073,  5.1868,  0.0056, 0.871, 0.871
  356,    1076,  5.1856,  0.0056, 0.871, 0.871
  357,    1079,  5.1863,  0.0056, 0.871, 0.871
  358,    1082,  5.1881,  0.0056, 0.871, 0.871
  359,    1085,  5.1873,  0.0056, 0.871, 0.871
  360,    1088,  5.1886,  0.0056, 0.871, 0.871
  361,    1091,  5.1863,  0.0055, 0.871, 0.870
  362,    1094,  5.1898,  0.0056, 0.871, 0.871
  363,    1097,  5.1873,  0.0056, 0.871, 0.871
  364,    1100,  5.1858,  0.0056, 0.871, 0.871
  365,    1103,  5.1866,  0.0056, 0.871, 0.871
  366,    1106,  5.1911,  0.0056, 0.871, 0.871
  367,    1109,  5.1871,  0.0056, 0.871, 0.871
  368,    1112,  5.1881,  0.0056, 0.871, 0.871
  369,    1115,  5.1873,  0.0056, 0.871, 0.871
  370,    1118,  5.1888,  0.0056, 0.871, 0.871
  371,    1121,  5.1893,  0.0056, 0.871, 0.871
  372,    1124,  5.1891,  0.0056, 0.871, 0.871
  373,    1127,  5.1873,  0.0056, 0.871, 0.871
  374,    1130,  5.1916,  0.0056, 0.871, 0.871
  375,    1133,  5.1883,  0.0056, 0.871, 0.871
  376,    1136,  5.1896,  0.0056, 0.871, 0.871
  377,    1139,  5.1883,  0.0056, 0.871, 0.871
  378,    1142,  5.1893,  0.0056, 0.871, 0.871
  379,    1145,  5.1883,  0.0056, 0.871, 0.871
  380,    1148,  5.1856,  0.0056, 0.871, 0.871
  381,    1151,  5.1876,  0.0056, 0.871, 0.871
  382,    1154,  5.1863,  0.0056, 0.871, 0.871
  383,    1157,  5.1878,  0.0056, 0.871, 0.871
  384,    1160,  5.1873,  0.0056, 0.871, 0.871
  385,    1163,  5.1886,  0.0056, 0.871, 0.871
  386,    1166,  5.1871,  0.0056, 0.871, 0.871
  387,    1169,  5.1868,  0.0056, 0.871, 0.871
  388,    1172,  5.1871,  0.0056, 0.871, 0.871
  389,    1175,  5.1873,  0.0056, 0.871, 0.871
  390,    1178,  5.1868,  0.0056, 0.871, 0.871
  391,    1181,  5.1896,  0.0056, 0.871, 0.871
  392,    1184,  5.1871,  0.0056, 0.871, 0.871
  393,    1187,  5.1891,  0.0056, 0.871, 0.871
  394,    1190,  5.1856,  0.0056, 0.871, 0.871
  395,    1193,  5.1876,  0.0056, 0.871, 0.871
  396,    1196,  5.1871,  0.0056, 0.871, 0.871
  397,    1199,  5.1876,  0.0056, 0.871, 0.871
  398,    1202,  5.1863,  0.0056, 0.871, 0.871
  399,    1205,  5.1888,  0.0056, 0.871, 0.871
  400,    1208,  5.1886,  0.0056, 0.871, 0.871
  401,    1211,  5.1909,  0.0056, 0.871, 0.871
  402,    1214,  5.1863,  0.0056, 0.871, 0.871
  403,    1217,  5.1911,  0.0056, 0.872, 0.872
  404,    1220,  5.1886,  0.0056, 0.871, 0.872
  405,    1223,  5.1906,  0.0056, 0.872, 0.872
  406,    1226,  5.1878,  0.0056, 0.871, 0.871
  407,    1229,  5.1881,  0.0056, 0.871, 0.871
  408,    1232,  5.1901,  0.0056, 0.872, 0.872
  409,    1235,  5.1871,  0.0056, 0.872, 0.872
  410,    1238,  5.1883,  0.0056, 0.871, 0.871
  411,    1241,  5.1856,  0.0056, 0.871, 0.872
  412,    1244,  5.1888,  0.0056, 0.872, 0.872
  413,    1247,  5.1888,  0.0056, 0.872, 0.872
  414,    1250,  5.1876,  0.0056, 0.872, 0.871
  415,    1253,  5.1868,  0.0056, 0.872, 0.872
  416,    1256,  5.1906,  0.0056, 0.872, 0.872
  417,    1259,  5.1881,  0.0056, 0.872, 0.872
  418,    1262,  5.1881,  0.0056, 0.871, 0.871
  419,    1265,  5.1861,  0.0056, 0.871, 0.872
